Gender,Married,Age,Graduat,Profession,Experience,SpendingScore,FamilySize
Male,Yes,,,Artist,,,2.0
Male,Yes,69.0,Yes,Doctor,,High,3.0
Female,Yes,45.0,Yes,Entertainment,3.0,,5.0
Male,Yes,38.0,Yes,Artist,0.0,Low,4.0
Male,Yes,,Yes,Executive,,High,
Male,Yes,,Yes,Artist,4.0,,
,No,,,Healthcare,2.0,Low,
Female,Yes,,No,Engineer,0.0,Average,
Male,Yes,84.0,Yes,Entertainment,,High,2.0
,Yes,,Yes,Artist,5.0,Average,
Female,No,22.0,No,,,Low,2.0
,No,,,Executive,,,4.0
Male,No,23.0,,,0.0,Low,
Female,No,41.0,,,,,
,Yes,50.0,Yes,Executive,4.0,High,3.0
,Yes,50.0,Yes,Executive,,High,
Female,No,28.0,Yes,Homemaker,,,
,Yes,,Yes,Doctor,1.0,Average,2.0
Male,No,19.0,,,,,
Female,No,30.0,Yes,Healthcare,,Low,
Male,Yes,,,Executive,3.0,Low,
,Yes,73.0,No,Executive,1.0,,2.0
Female,No,19.0,No,Healthcare,0.0,Low,
,Yes,50.0,,Executive,1.0,High,
Male,Yes,51.0,,,1.0,Low,2.0
Female,Yes,,,,4.0,,2.0
,No,39.0,Yes,Doctor,,Low,1.0
Male,No,,,Doctor,1.0,,
,No,33.0,,,5.0,Low,
Male,Yes,,,Artist,1.0,Average,3.0
Female,Yes,70.0,Yes,Doctor,,,2.0
,Yes,66.0,Yes,Artist,1.0,Average,
Female,Yes,,Yes,Artist,,Low,1.0
Male,Yes,,Yes,Artist,,,2.0
Male,No,18.0,No,,8.0,,9.0
Male,Yes,33.0,No,,,Average,2.0
Male,No,,Yes,Artist,9.0,,1.0
Female,Yes,,Yes,Marketing,11.0,,2.0
Female,Yes,38.0,,Engineer,1.0,,5.0
Male,Yes,63.0,,Artist,0.0,Average,7.0
,Yes,70.0,Yes,Lawyer,,High,3.0
Female,No,26.0,,Healthcare,10.0,,
,Yes,36.0,,,1.0,Low,2.0
Female,Yes,,Yes,Artist,,Low,3.0
Male,No,,No,,,Low,2.0
Female,No,26.0,,,1.0,,5.0
,Yes,,No,Lawyer,,,2.0
Male,No,20.0,No,Marketing,1.0,Low,3.0
Male,Yes,30.0,Yes,Artist,0.0,,
Male,No,,,,,,2.0
Female,No,,,,1.0,Low,1.0
Female,Yes,47.0,,Engineer,1.0,Average,
Male,Yes,,Yes,,2.0,Average,5.0
,Yes,53.0,No,Engineer,,,3.0
Female,No,28.0,Yes,Homemaker,,Low,2.0
,Yes,,Yes,Artist,1.0,Low,
,No,,Yes,Artist,8.0,Low,1.0
Male,Yes,43.0,Yes,Artist,,Low,
Female,No,33.0,Yes,,,Low,3.0
Male,Yes,56.0,Yes,Entertainment,,Average,
,Yes,70.0,,Executive,1.0,High,2.0
Male,Yes,,,Doctor,1.0,,2.0
Male,Yes,73.0,No,Executive,,,3.0
Female,Yes,,Yes,,,Average,
Female,No,40.0,Yes,Engineer,6.0,,3.0
Male,Yes,,No,Executive,,Low,
Female,No,29.0,Yes,Healthcare,,,4.0
Male,Yes,27.0,Yes,,,High,
Female,Yes,40.0,Yes,Engineer,,Average,2.0
Male,Yes,82.0,Yes,Lawyer,1.0,Low,1.0
Female,No,38.0,Yes,Artist,7.0,Low,1.0
Male,Yes,,,,0.0,,3.0
,Yes,39.0,,Artist,0.0,Average,2.0
Male,No,,Yes,Artist,0.0,Low,1.0
,Yes,75.0,Yes,Lawyer,0.0,High,2.0
Female,Yes,37.0,,Marketing,,Low,4.0
Male,Yes,84.0,No,Lawyer,,High,2.0
,No,42.0,Yes,Entertainment,6.0,,2.0
,Yes,39.0,Yes,,0.0,Average,2.0
Male,Yes,42.0,,Artist,,Average,2.0
,Yes,40.0,,Artist,1.0,Average,2.0
Female,No,52.0,Yes,,1.0,,
Male,No,52.0,,,,Low,1.0
Male,No,,Yes,Entertainment,0.0,Low,4.0
,Yes,37.0,Yes,,,Low,2.0
,No,,Yes,Artist,3.0,Low,1.0
Female,No,,,Engineer,4.0,Low,4.0
,Yes,,,,0.0,,2.0
Female,No,,Yes,Doctor,1.0,Low,
,No,31.0,No,Healthcare,0.0,Low,4.0
,Yes,88.0,,Executive,0.0,,3.0
Female,No,,,Entertainment,4.0,,
Male,Yes,38.0,,Entertainment,,Low,2.0
Female,Yes,53.0,Yes,Artist,0.0,Average,
,No,43.0,Yes,Artist,8.0,,2.0
Male,Yes,,No,,0.0,Low,
Male,No,,,Artist,,Low,2.0
,Yes,,No,,1.0,,
Male,Yes,58.0,Yes,Artist,,,4.0
Female,No,32.0,Yes,Doctor,1.0,Low,
Female,Yes,49.0,No,Artist,1.0,Average,
Female,Yes,53.0,No,Entertainment,9.0,High,2.0
,Yes,,No,,9.0,Low,4.0
,No,39.0,Yes,,1.0,,2.0
Male,No,,,Entertainment,1.0,,1.0
,No,20.0,No,Healthcare,,Low,5.0
Male,Yes,,Yes,Entertainment,,Low,2.0
Male,No,26.0,No,Doctor,0.0,,
,Yes,46.0,,Artist,1.0,Average,3.0
,No,,Yes,,,Low,2.0
Female,Yes,60.0,,Doctor,,Average,2.0
Male,Yes,,No,Lawyer,,,
,No,,Yes,Homemaker,,Low,1.0
Male,Yes,63.0,Yes,Artist,6.0,,1.0
Female,No,,Yes,Healthcare,,Low,2.0
Male,Yes,,Yes,Entertainment,0.0,Average,4.0
Male,No,20.0,,,,,4.0
Female,No,,No,,14.0,Low,3.0
Female,No,33.0,Yes,Doctor,,,5.0
,No,31.0,No,Engineer,0.0,Low,1.0
,Yes,57.0,,Healthcare,1.0,Low,3.0
Male,Yes,42.0,,Artist,,Low,4.0
Male,Yes,40.0,No,Entertainment,2.0,Average,5.0
Male,Yes,66.0,No,Lawyer,,High,3.0
Male,No,21.0,,,0.0,,4.0
Male,Yes,,No,Executive,,High,2.0
Female,Yes,,Yes,Artist,0.0,Low,
Female,Yes,66.0,,Artist,,Average,
Male,Yes,27.0,,,,,2.0
,Yes,35.0,Yes,Homemaker,,Low,
,Yes,53.0,No,Artist,1.0,,
,Yes,,No,Lawyer,8.0,,1.0
Female,Yes,63.0,,,1.0,Average,3.0
,No,41.0,Yes,,9.0,Low,1.0
Male,Yes,43.0,Yes,Artist,,Average,4.0
,Yes,47.0,,,,,3.0
,No,,No,,,,5.0
,No,33.0,,Entertainment,1.0,Low,4.0
,No,30.0,,,9.0,Low,
Male,Yes,85.0,Yes,Executive,1.0,High,2.0
,Yes,,Yes,Artist,,High,
Male,Yes,48.0,Yes,Doctor,,,
Male,Yes,80.0,,Lawyer,,High,2.0
,No,33.0,Yes,Artist,,,
Female,Yes,36.0,Yes,,,High,
Male,Yes,27.0,,,3.0,Average,
Male,No,,No,,0.0,Low,
Female,Yes,,,Doctor,0.0,,3.0
Male,No,,,,1.0,Low,
Female,Yes,39.0,Yes,,,Average,
,Yes,56.0,Yes,Artist,1.0,High,
,No,26.0,Yes,,,Low,
Male,Yes,,,,,Low,2.0
,No,21.0,,Healthcare,,Low,2.0
,Yes,,,,1.0,,4.0
Female,No,,Yes,,0.0,Low,
,Yes,,,Doctor,0.0,,4.0
,No,,Yes,Homemaker,11.0,Low,
Male,Yes,62.0,,Lawyer,,,1.0
,Yes,80.0,Yes,Lawyer,,High,
Male,Yes,,Yes,,1.0,Low,1.0
,No,,No,,,Low,
Female,Yes,33.0,,,,Average,5.0
,No,29.0,,,,,3.0
Female,No,20.0,No,Healthcare,1.0,Low,
,Yes,,,Artist,,,2.0
Female,No,18.0,No,Healthcare,1.0,Low,
,Yes,53.0,Yes,,3.0,Average,
Male,Yes,28.0,Yes,Entertainment,,Average,
,No,43.0,Yes,Entertainment,,Low,4.0
,No,31.0,,,1.0,,3.0
Female,No,,Yes,Healthcare,,,
Male,Yes,,,Artist,,,
Male,Yes,33.0,,,0.0,Average,2.0
Male,Yes,,Yes,Artist,,Average,6.0
Male,No,33.0,,,1.0,Low,4.0
Male,Yes,,Yes,,6.0,Average,2.0
Female,Yes,47.0,,Artist,,Average,
Male,No,,,Entertainment,1.0,Low,7.0
Male,Yes,52.0,Yes,Executive,1.0,High,4.0
Male,No,,No,Healthcare,,,
Female,No,30.0,,,,Low,2.0
,Yes,,Yes,Entertainment,,,2.0
Male,Yes,69.0,No,,,Average,2.0
Male,No,29.0,Yes,Engineer,0.0,Low,
Female,Yes,56.0,No,Engineer,,,
,Yes,72.0,Yes,,,,3.0
Male,Yes,88.0,No,Lawyer,,Low,1.0
Male,No,,,,,Low,4.0
Female,No,31.0,Yes,,1.0,,
Male,No,41.0,,Artist,2.0,Low,
Female,No,31.0,Yes,Healthcare,9.0,Low,7.0
,No,,,,,Low,
Female,Yes,26.0,No,Marketing,,High,
Male,Yes,,No,Entertainment,,Average,5.0
,No,,No,Healthcare,,Low,
,No,,No,Healthcare,1.0,Low,4.0
,Yes,41.0,Yes,Artist,4.0,,4.0
,No,20.0,,Healthcare,,,5.0
Male,Yes,63.0,Yes,,1.0,,
Male,Yes,88.0,,Executive,1.0,Low,
,No,,Yes,,,Low,3.0
,Yes,55.0,No,,1.0,High,4.0
Male,No,32.0,Yes,,,,
Male,No,32.0,Yes,Entertainment,1.0,Low,2.0
Female,Yes,,Yes,Artist,0.0,Average,
Female,Yes,62.0,,,,Low,1.0
,No,18.0,No,Healthcare,,,
Male,Yes,,No,Executive,1.0,High,2.0
Female,Yes,,Yes,,9.0,Low,2.0
Female,No,45.0,Yes,Engineer,0.0,Low,1.0
Male,Yes,46.0,No,Doctor,0.0,Average,3.0
Male,No,,No,Healthcare,2.0,Low,
Female,Yes,41.0,Yes,Engineer,,,3.0
Female,Yes,35.0,No,Engineer,7.0,Average,4.0
Female,Yes,52.0,Yes,Artist,6.0,Low,2.0
Female,Yes,,Yes,Artist,1.0,Average,
,Yes,,No,Executive,5.0,Low,3.0
,Yes,,Yes,Entertainment,0.0,Average,2.0
Male,No,27.0,,Doctor,0.0,Low,4.0
Female,No,37.0,Yes,Doctor,1.0,,
,Yes,29.0,No,Homemaker,,Average,2.0
Female,No,50.0,Yes,Artist,0.0,,2.0
Male,Yes,74.0,Yes,Lawyer,1.0,Low,1.0
,Yes,72.0,Yes,Artist,3.0,Average,3.0
,Yes,83.0,Yes,Lawyer,,High,2.0
Male,Yes,,Yes,Engineer,1.0,Average,
Female,No,19.0,,Healthcare,,,3.0
Female,No,,No,Artist,1.0,Low,1.0
Female,No,46.0,Yes,,,,
Female,Yes,,,Doctor,1.0,Low,2.0
Female,Yes,88.0,Yes,,1.0,Average,2.0
,Yes,,Yes,Entertainment,0.0,Average,2.0
Male,Yes,50.0,Yes,Executive,9.0,High,3.0
,No,35.0,Yes,Artist,,,2.0
,Yes,67.0,Yes,,0.0,Low,1.0
Male,Yes,66.0,,Executive,0.0,Low,1.0
Female,No,39.0,Yes,,3.0,Low,2.0
Female,Yes,46.0,Yes,,0.0,Average,
,No,32.0,No,Homemaker,,,1.0
,No,40.0,Yes,Artist,6.0,Low,
Male,Yes,,Yes,,0.0,High,
,No,30.0,,Healthcare,8.0,Low,
Male,No,32.0,Yes,Entertainment,1.0,Low,
,Yes,43.0,No,Marketing,1.0,Low,2.0
Female,Yes,55.0,No,Engineer,,Average,2.0
Female,Yes,47.0,Yes,Artist,,,3.0
Female,Yes,73.0,No,Engineer,1.0,Low,
Male,No,39.0,,,,Low,
,No,22.0,,,,Low,4.0
Male,Yes,,Yes,,0.0,Average,
Female,No,31.0,,Healthcare,,Low,
Male,No,27.0,,Healthcare,,Low,
Male,No,19.0,,Healthcare,0.0,,4.0
,Yes,,No,Doctor,0.0,Average,2.0
,Yes,37.0,No,,,Average,2.0
Male,Yes,45.0,Yes,Executive,0.0,,2.0
,No,,No,Doctor,,Low,3.0
Female,No,26.0,,Doctor,0.0,,
Male,No,39.0,Yes,,,Low,
Male,Yes,61.0,Yes,Entertainment,1.0,,2.0
Female,Yes,,,,1.0,High,2.0
Male,No,29.0,,,,Low,
Male,No,29.0,Yes,,,Low,1.0
Male,No,36.0,No,Executive,,,3.0
,No,,Yes,Doctor,,,
Male,Yes,69.0,Yes,Artist,,,5.0
Male,Yes,81.0,Yes,Lawyer,,,1.0
,Yes,,No,,1.0,High,2.0
Female,No,31.0,No,,10.0,,2.0
Male,Yes,41.0,Yes,Entertainment,,,4.0
Male,Yes,,No,,1.0,Average,3.0
Female,No,52.0,Yes,Artist,6.0,Low,1.0
,No,19.0,,Healthcare,,Low,4.0
Male,Yes,,,Artist,0.0,Low,2.0
Female,No,,,Marketing,,Low,
Male,No,,No,,2.0,Low,5.0
Male,Yes,77.0,,Lawyer,,Low,2.0
Female,Yes,84.0,Yes,Lawyer,0.0,Low,
,Yes,47.0,No,,,High,4.0
,No,,,Entertainment,6.0,,3.0
Female,No,,Yes,,8.0,Low,3.0
Male,Yes,40.0,Yes,Artist,14.0,,2.0
Male,No,,,Healthcare,1.0,,
Male,No,20.0,No,Healthcare,,Low,3.0
Male,No,,Yes,,,Low,2.0
Male,Yes,56.0,No,,0.0,,
Female,Yes,,Yes,Artist,3.0,,1.0
Male,Yes,22.0,No,,1.0,High,
Male,Yes,32.0,No,Healthcare,,High,4.0
Male,Yes,,No,Executive,,High,5.0
Female,No,,No,Marketing,1.0,Low,
,Yes,37.0,No,Doctor,2.0,,4.0
,Yes,55.0,,,4.0,,4.0
Male,No,42.0,Yes,Entertainment,3.0,Low,2.0
,No,20.0,No,Healthcare,1.0,Low,5.0
Female,No,42.0,Yes,Artist,,,2.0
,Yes,,No,,1.0,,5.0
Female,No,52.0,Yes,Engineer,,Low,1.0
,Yes,48.0,Yes,Marketing,,,1.0
,Yes,37.0,,,5.0,Average,2.0
Male,No,,No,Doctor,1.0,,3.0
Male,Yes,48.0,,Artist,3.0,,4.0
Female,No,25.0,Yes,,5.0,Low,2.0
Female,No,,Yes,,3.0,,1.0
Female,Yes,68.0,,,1.0,Low,
Male,No,,No,Healthcare,0.0,Low,4.0
Male,No,43.0,Yes,,,Low,
,Yes,,,,8.0,High,
Male,Yes,,No,Executive,0.0,Average,5.0
,No,41.0,Yes,Entertainment,,Low,1.0
Male,Yes,,Yes,Entertainment,,,2.0
Male,No,32.0,Yes,Healthcare,8.0,,
,Yes,57.0,Yes,Homemaker,5.0,High,2.0
Female,No,,Yes,,13.0,Low,
Male,Yes,,,Lawyer,0.0,High,2.0
Male,No,38.0,Yes,Entertainment,,Low,
,Yes,,Yes,,,,2.0
Female,No,,,Artist,1.0,Low,
,Yes,50.0,Yes,Artist,,,2.0
Female,Yes,69.0,,,0.0,High,2.0
,No,,,,0.0,,1.0
Male,Yes,,,Lawyer,,High,3.0
Male,Yes,,,,1.0,Low,
Male,Yes,,,,9.0,High,5.0
,Yes,82.0,No,Lawyer,0.0,Low,
,Yes,71.0,No,Lawyer,,,
Female,Yes,,,,0.0,,
Male,Yes,56.0,Yes,Artist,,High,2.0
Male,No,,No,Healthcare,4.0,Low,3.0
Male,Yes,,,Executive,12.0,,
,No,26.0,,,1.0,,
Female,No,31.0,No,,1.0,Low,5.0
,Yes,42.0,Yes,Artist,,Average,2.0
Female,No,33.0,Yes,Doctor,1.0,Low,1.0
Male,Yes,,No,,1.0,Low,5.0
Female,Yes,46.0,No,,,High,3.0
Female,No,67.0,Yes,Artist,0.0,,2.0
,No,35.0,No,Artist,7.0,,
,No,,No,Doctor,8.0,,3.0
Female,No,43.0,No,Doctor,8.0,Low,1.0
Female,Yes,,No,Artist,,,
Female,Yes,73.0,,Artist,,,3.0
Female,No,21.0,No,Healthcare,,Low,
,No,32.0,No,Doctor,,Low,
,No,36.0,No,,,Low,
Male,No,32.0,Yes,Artist,13.0,,3.0
Male,No,25.0,No,Homemaker,,Low,
Female,No,40.0,Yes,,5.0,Low,1.0
Female,No,,No,,0.0,Low,3.0
,Yes,48.0,Yes,Executive,5.0,,
Female,No,,Yes,Artist,,Low,3.0
Male,No,,No,,1.0,Low,3.0
Female,Yes,82.0,No,Entertainment,,High,
Male,No,,No,Healthcare,9.0,Low,4.0
Male,No,,Yes,Entertainment,14.0,Low,3.0
Male,No,,,Entertainment,8.0,,4.0
,No,30.0,Yes,Healthcare,1.0,,3.0
Male,No,,Yes,Entertainment,,Low,5.0
Male,Yes,60.0,,Artist,0.0,Low,2.0
Female,Yes,,,,1.0,Average,2.0
Female,No,,No,Healthcare,,Low,
Female,No,19.0,,Healthcare,0.0,,
Male,Yes,40.0,No,,,Low,
Male,No,,Yes,,8.0,,1.0
Female,Yes,71.0,Yes,,,Average,2.0
Female,No,,Yes,Engineer,,Low,
,Yes,68.0,,,,,2.0
Male,Yes,50.0,Yes,Entertainment,,,
Male,No,21.0,No,Healthcare,0.0,,
Male,No,,Yes,Healthcare,,Low,3.0
Female,Yes,39.0,No,Engineer,1.0,Average,4.0
,Yes,41.0,Yes,Executive,0.0,,4.0
Male,No,28.0,No,Doctor,,Low,1.0
,No,22.0,No,Healthcare,0.0,Low,3.0
Male,No,35.0,Yes,Artist,,,1.0
Female,Yes,49.0,Yes,,3.0,Low,2.0
,Yes,,Yes,Healthcare,,Low,
Female,No,33.0,,Healthcare,,Low,
,No,27.0,,,0.0,,2.0
Female,No,50.0,No,Entertainment,,Low,2.0
Female,Yes,37.0,,Homemaker,5.0,Low,
Male,No,,,Marketing,,,
,No,35.0,,Entertainment,13.0,Low,
Female,Yes,50.0,Yes,,,Low,1.0
Male,No,31.0,,Artist,7.0,Low,1.0
Female,Yes,,No,Engineer,,High,2.0
Female,No,,No,,0.0,Low,2.0
Male,Yes,66.0,,Entertainment,1.0,Average,2.0
Male,Yes,37.0,Yes,,1.0,,2.0
Male,Yes,52.0,,Artist,2.0,Average,2.0
Male,Yes,45.0,,,7.0,,5.0
,No,27.0,Yes,Healthcare,,Low,6.0
Female,Yes,,,Artist,1.0,High,4.0
,Yes,43.0,No,,9.0,Low,1.0
Female,No,32.0,No,Doctor,8.0,Low,
Male,Yes,,Yes,Lawyer,9.0,Low,
Female,Yes,,,Engineer,,Average,5.0
,No,59.0,,Artist,,Low,
Male,Yes,,Yes,Artist,1.0,,3.0
,No,23.0,No,,0.0,Low,8.0
Female,Yes,65.0,No,,,High,2.0
Male,No,47.0,Yes,Artist,,,1.0
,Yes,45.0,Yes,Artist,,Low,
Male,Yes,,,,0.0,Low,
Male,Yes,65.0,No,Entertainment,1.0,High,2.0
Female,No,38.0,,Healthcare,0.0,,2.0
,Yes,28.0,Yes,Healthcare,,Low,2.0
,No,20.0,,Healthcare,2.0,Low,3.0
Female,Yes,36.0,,Artist,,,
,No,22.0,No,Healthcare,,,4.0
,Yes,56.0,No,Healthcare,0.0,,4.0
Female,No,,,Doctor,5.0,,
Female,No,33.0,Yes,Healthcare,1.0,Low,
Female,Yes,68.0,,,1.0,High,2.0
,Yes,,Yes,Artist,,Average,
Female,Yes,,Yes,Artist,,,
Male,No,,,,,,5.0
Female,Yes,49.0,Yes,,0.0,,
Male,Yes,43.0,Yes,,,,
Female,No,33.0,No,Doctor,,,1.0
Female,Yes,57.0,Yes,Artist,1.0,High,
Female,Yes,65.0,Yes,Lawyer,2.0,Low,
Male,Yes,36.0,Yes,Entertainment,0.0,,2.0
Female,Yes,,No,,4.0,Average,
,No,,No,Entertainment,1.0,Low,5.0
Female,Yes,43.0,No,Engineer,1.0,Average,
Male,Yes,,Yes,Lawyer,,Low,1.0
Female,Yes,27.0,No,Marketing,,High,4.0
,Yes,39.0,,Healthcare,11.0,,
,Yes,61.0,Yes,Artist,2.0,Low,
,Yes,,Yes,Lawyer,,,
Male,No,26.0,Yes,Engineer,0.0,,
,Yes,,Yes,Artist,,Average,4.0
Male,Yes,,Yes,Artist,1.0,Low,1.0
Female,No,,Yes,,,Low,1.0
Male,Yes,,,Artist,1.0,Average,3.0
,Yes,,,,9.0,High,5.0
Male,Yes,40.0,No,Executive,5.0,Low,
,Yes,86.0,,,,,1.0
Female,No,26.0,No,Healthcare,,,3.0
,No,,No,,9.0,Low,
,No,22.0,,Healthcare,5.0,,3.0
,Yes,36.0,,Artist,,Average,4.0
Female,Yes,69.0,No,Doctor,0.0,,1.0
,No,39.0,Yes,Entertainment,1.0,Low,2.0
,Yes,81.0,,Doctor,0.0,High,
,No,28.0,,Healthcare,9.0,,2.0
,No,,Yes,Healthcare,,,5.0
Male,No,52.0,Yes,,1.0,,5.0
Female,Yes,40.0,Yes,Artist,,Average,
Male,No,68.0,,Lawyer,0.0,Low,
,Yes,37.0,,,,,2.0
Male,No,26.0,No,,,,
,No,31.0,No,Homemaker,8.0,Low,1.0
Female,Yes,68.0,Yes,Lawyer,0.0,Low,
Male,Yes,42.0,Yes,,1.0,Average,3.0
Female,Yes,56.0,,,1.0,Average,6.0
,Yes,,,,1.0,,2.0
Male,Yes,58.0,Yes,Artist,1.0,Low,1.0
Male,No,,,Artist,,,1.0
,No,,No,Homemaker,8.0,,1.0
,No,27.0,Yes,,,Low,3.0
,No,,No,Healthcare,7.0,Low,4.0
,Yes,,,Entertainment,,Average,
Male,Yes,37.0,No,Engineer,8.0,,
Male,Yes,,Yes,,1.0,Average,
,Yes,,No,Doctor,1.0,,1.0
Male,Yes,38.0,Yes,,,Low,2.0
,Yes,,Yes,Artist,,Average,
Female,No,,,Healthcare,,Low,
,No,32.0,Yes,Healthcare,6.0,Low,3.0
Male,No,31.0,Yes,Artist,1.0,,5.0
Male,No,,No,Healthcare,13.0,Low,3.0
Male,Yes,41.0,,,0.0,,
,No,39.0,No,Entertainment,,,
Male,No,21.0,No,Healthcare,1.0,,4.0
,No,30.0,No,Healthcare,0.0,Low,
Male,No,,No,Healthcare,0.0,Low,6.0
,Yes,,,,,Average,2.0
Male,No,31.0,No,Executive,,Low,
Female,Yes,74.0,Yes,,,Low,
Female,Yes,73.0,No,,,High,
,Yes,42.0,Yes,,9.0,Low,
,No,47.0,Yes,,0.0,Low,1.0
,No,19.0,No,,,,5.0
,Yes,45.0,No,Executive,3.0,Low,
,No,25.0,No,,,Low,7.0
Female,No,28.0,,Entertainment,,Low,
Female,Yes,40.0,Yes,,,Average,2.0
,No,30.0,Yes,Doctor,8.0,Low,
Female,Yes,50.0,,Engineer,1.0,Average,
Male,No,26.0,Yes,,8.0,Low,
Male,Yes,82.0,Yes,Lawyer,,Low,1.0
Male,Yes,33.0,Yes,Healthcare,0.0,Low,
,No,,No,Marketing,1.0,Low,
Male,Yes,,,Lawyer,0.0,,
Female,No,37.0,Yes,Artist,,,1.0
Male,Yes,37.0,Yes,,,,2.0
,Yes,,,,1.0,High,3.0
,Yes,,,,0.0,Low,
Female,Yes,39.0,Yes,Artist,,,1.0
Male,Yes,40.0,Yes,Artist,,Low,
Male,Yes,55.0,Yes,Artist,2.0,Low,1.0
Male,Yes,50.0,,Healthcare,,Average,
Male,No,26.0,Yes,Doctor,,Low,3.0
,No,,Yes,,1.0,Low,1.0
Female,No,28.0,,Healthcare,,Low,
Female,No,32.0,,Artist,7.0,,3.0
,No,31.0,Yes,,,,1.0
Male,No,,No,Healthcare,0.0,,4.0
Female,No,31.0,Yes,Doctor,0.0,,4.0
,Yes,47.0,Yes,Artist,,Low,
Male,Yes,,Yes,,,Average,2.0
Male,Yes,37.0,Yes,,,High,3.0
,Yes,,Yes,Artist,13.0,,4.0
Male,Yes,,Yes,Executive,0.0,,2.0
,No,20.0,No,,,Low,7.0
Male,Yes,79.0,No,,0.0,High,2.0
,Yes,,,Executive,,High,6.0
,No,,,Healthcare,1.0,,4.0
Male,No,23.0,No,,1.0,,
,No,,,Engineer,9.0,Low,4.0
Female,No,33.0,,,10.0,Low,1.0
,No,21.0,No,Healthcare,0.0,,
Male,No,18.0,No,,8.0,Low,4.0
Male,Yes,,,Lawyer,0.0,,2.0
Female,Yes,,,,0.0,,2.0
,Yes,42.0,,Artist,2.0,,2.0
,No,28.0,,Healthcare,,,2.0
Male,Yes,41.0,,Executive,,High,
Male,Yes,,Yes,Lawyer,9.0,Low,1.0
Male,No,,Yes,Artist,,Low,2.0
Male,Yes,53.0,No,Lawyer,,,
Male,No,,Yes,Executive,,Low,4.0
Male,Yes,51.0,Yes,Artist,1.0,Low,
Male,No,19.0,No,Artist,,Low,
,Yes,,Yes,Lawyer,0.0,High,2.0
,Yes,51.0,Yes,,0.0,,1.0
Female,Yes,70.0,Yes,Homemaker,,,2.0
Female,No,38.0,,Doctor,,Low,1.0
,No,21.0,No,Healthcare,0.0,,
Male,Yes,,,Lawyer,0.0,,1.0
Female,Yes,19.0,,,,High,2.0
,No,,No,Entertainment,1.0,Low,
,Yes,48.0,Yes,Entertainment,1.0,Average,
,No,33.0,No,Healthcare,8.0,Low,
Female,No,,Yes,Engineer,0.0,Low,
,No,31.0,No,,,Low,4.0
Female,Yes,48.0,,Artist,1.0,Average,2.0
,Yes,,No,Engineer,,Average,8.0
,Yes,,No,Artist,,Low,1.0
Female,No,39.0,Yes,,0.0,,
Female,Yes,46.0,Yes,,,Average,2.0
Male,Yes,41.0,Yes,Artist,,,2.0
Female,Yes,31.0,,Artist,0.0,High,3.0
,Yes,,Yes,Entertainment,8.0,Average,
Female,Yes,58.0,No,Engineer,1.0,Low,1.0
Female,Yes,49.0,Yes,Engineer,1.0,,
,Yes,47.0,,,2.0,Low,1.0
,No,30.0,,Healthcare,1.0,Low,
Male,No,41.0,,Entertainment,6.0,Low,1.0
Female,Yes,33.0,Yes,Doctor,0.0,,2.0
Male,No,33.0,,Healthcare,0.0,Low,
Male,No,,,,,Low,
Male,Yes,45.0,No,Doctor,8.0,Low,2.0
,Yes,,Yes,Homemaker,1.0,,1.0
,No,35.0,No,,,Low,
Female,No,21.0,,Entertainment,1.0,,4.0
Female,No,36.0,,,9.0,Low,2.0
,Yes,56.0,,,,,
Female,No,28.0,No,Artist,0.0,,5.0
Female,Yes,,No,Lawyer,,,
Male,Yes,48.0,Yes,,1.0,,4.0
Male,Yes,47.0,No,Entertainment,0.0,High,5.0
Male,No,,No,Healthcare,,,3.0
Female,No,18.0,No,,,Low,
Male,Yes,,Yes,,2.0,High,2.0
Male,Yes,42.0,No,Entertainment,9.0,Average,
Male,No,,No,Healthcare,0.0,Low,
Female,Yes,50.0,Yes,Artist,,,1.0
,Yes,40.0,,Entertainment,,,2.0
Male,Yes,73.0,No,,0.0,High,
Female,No,,,Artist,,Low,
,Yes,,Yes,Artist,1.0,,3.0
Female,Yes,,,Lawyer,1.0,Low,
Female,Yes,39.0,,Doctor,,,2.0
Male,Yes,83.0,,,0.0,High,
Male,Yes,55.0,,Artist,,Low,
,Yes,51.0,Yes,,,Low,
Male,Yes,42.0,No,Engineer,5.0,,4.0
Male,Yes,,Yes,Artist,1.0,Low,4.0
,Yes,53.0,,Executive,1.0,,
,Yes,40.0,,Engineer,,,7.0
,Yes,62.0,,Artist,0.0,,
Male,No,21.0,No,,,,
Male,Yes,40.0,,Entertainment,1.0,Average,2.0
,No,27.0,No,Healthcare,,,
,Yes,84.0,No,Lawyer,0.0,High,2.0
,No,,,Doctor,,Low,
Male,No,26.0,,Artist,11.0,Low,
Male,No,,,Entertainment,1.0,Low,
,No,,Yes,Artist,0.0,Low,1.0
,Yes,,No,Entertainment,9.0,Average,
Female,No,,,,,Low,
,No,25.0,,,,Low,3.0
,Yes,47.0,,Marketing,,Average,
Female,No,32.0,No,Artist,,,4.0
Female,No,21.0,No,Healthcare,6.0,Low,4.0
Male,Yes,73.0,,,1.0,,
Male,Yes,35.0,Yes,Artist,0.0,Average,
Male,No,,Yes,,1.0,,
,Yes,,Yes,Artist,1.0,Low,2.0
Male,No,,,,,Low,1.0
,Yes,88.0,Yes,Lawyer,1.0,,2.0
,No,39.0,No,,,,1.0
Female,No,41.0,Yes,,1.0,Low,2.0
,Yes,,,Artist,,,
Male,Yes,45.0,Yes,Artist,7.0,,5.0
