alcohol,sulphates,total sulfur dioxide,volatile acidity,qualityred
9.5,0.91,45.0,0.4,6
10.0,0.46,16.0,1.0,5
10.3,0.6,48.0,765.0,6
10.3,0.59,18.0,635.0,6
10.5,0.61,34.0,0.43,5
9.8,0.6,92.0,0.52,5
9.4,0.6,45.0,0.57,6
9.8,0.65,37.0,0.46,5
10.0,0.53,96.0,0.82,5
9.8,0.65,37.0,0.46,5
9.8,0.59,85.0,0.59,5
9.5,0.5,61.0,0.35,5
9.5,0.5,61.0,0.35,5
10.1,0.56,58.0,0.56,6
10.1,0.56,58.0,0.56,6
9.3,0.52,119.0,0.63,5
9.7,0.68,82.0,0.37,6
9.6,0.54,130.0,0.64,5
9.7,0.6,87.0,0.61,6
10.8,0.56,13.0,0.6,5
12.5,0.53,26.0,0.27,6
10.2,1.18,60.0,0.89,5
9.6,0.74,64.0,0.46,5
10.8,0.81,42.0,0.37,7
10.7,0.52,14.0,0.5,6
10.7,0.52,14.0,0.5,6
9.4,0.51,108.0,0.61,5
10.0,0.44,17.0,0.55,5
12.9,0.94,86.0,585.0,7
9.6,0.66,46.0,0.56,6
9.9,0.57,18.0,0.52,6
12.8,0.7,10.0,0.28,7
12.5,0.71,10.0,0.25,7
12.8,0.7,10.0,0.28,7
9.2,0.86,12.0,0.53,5
10.3,0.55,15.0,0.48,6
10.5,0.47,14.0,0.49,5
10.9,0.68,24.0,0.5,6
10.8,0.71,38.0,0.45,5
11.4,0.58,7.0,0.39,4
11.3,0.76,41.0,0.41,6
10.8,0.71,38.0,0.45,5
10.5,0.58,30.0,0.51,6
11.9,0.73,27.0,0.29,6
9.4,0.45,47.0,715.0,5
9.6,0.54,59.0,0.66,5
9.7,0.6,22.0,685.0,5
14.0,0.74,42.0,0.42,7
9.8,0.64,36.0,0.54,5
9.8,0.64,36.0,0.54,5
10.3,0.53,16.0,0.48,5
10.7,0.49,37.0,0.46,5
11.0,0.64,8.0,0.27,7
10.7,0.49,37.0,0.46,5
12.7,0.74,45.0,0.57,8
11.1,0.77,24.0,0.61,6
10.9,0.55,9.0,685.0,4
11.1,0.77,24.0,0.61,6
9.9,0.86,48.0,0.44,3
9.9,0.86,51.0,0.47,4
9.4,0.47,23.0,685.0,5
9.3,0.51,55.0,665.0,5
11.7,0.39,100.0,0.28,7
11.7,0.39,100.0,0.28,7
11.2,0.83,28.0,0.31,7
10.0,0.47,26.0,0.5,5
12.1,0.77,34.0,0.42,7
10.3,0.63,31.0,0.66,5
10.9,0.72,68.0,0.5,6
9.4,0.62,92.0,685.0,5
10.6,0.83,42.0,0.25,6
9.8,0.66,31.0,0.64,5
9.8,0.66,31.0,0.64,5
9.9,0.7,39.0,0.68,6
9.8,0.66,31.0,0.64,5
9.8,0.66,32.0,0.63,5
9.5,0.55,22.0,0.43,5
9.5,0.55,22.0,0.43,5
9.7,1.07,122.0,0.42,5
10.9,0.73,55.0,0.36,6
10.9,0.73,55.0,0.36,6
11.7,0.71,14.0,735.0,7
10.9,0.73,55.0,0.36,6
11.3,0.78,47.0,0.26,7
10.6,0.67,32.0,0.28,7
11.2,0.82,24.0,0.56,6
9.5,0.54,85.0,0.62,5
11.5,0.6,88.0,1.01,6
10.4,0.44,25.0,0.42,5
9.7,0.53,84.0,0.62,5
9.5,0.54,85.0,0.62,5
9.7,0.54,86.0,635.0,5
11.3,0.83,24.0,0.49,6
11.2,0.84,22.0,0.51,6
11.2,0.82,24.0,0.56,6
10.9,0.64,43.0,0.63,6
11.8,0.57,43.0,715.0,6
10.6,0.57,46.0,0.56,5
10.0,0.54,48.0,0.35,4
11.1,0.58,10.0,0.21,7
11.8,0.65,10.0,0.38,7
11.8,0.79,16.0,0.31,7
10.9,0.58,14.0,0.47,4
11.8,0.57,43.0,715.0,6
10.0,0.5,69.0,0.61,6
9.5,0.55,88.0,0.6,5
9.9,0.49,21.0,0.56,5
11.4,0.65,35.0,715.0,6
12.0,0.78,26.0,0.31,6
9.5,0.55,88.0,0.6,5
10.0,0.5,69.0,0.61,6
10.5,0.64,30.0,0.75,5
10.4,0.65,28.0,0.8,6
12.1,0.79,56.0,0.52,7
11.2,0.56,64.0,0.57,6
9.3,0.68,99.0,0.9,5
10.1,0.58,52.0,0.34,5
9.7,0.57,86.0,0.66,5
9.3,0.65,18.0,0.45,6
9.7,0.57,86.0,0.66,5
9.8,0.58,88.0,0.63,6
10.7,0.58,43.0,0.59,6
12.5,0.77,43.0,0.31,7
10.7,0.58,43.0,0.59,6
12.5,0.77,43.0,0.31,7
11.0,0.49,11.0,1.02,3
11.8,0.69,39.0,0.31,5
10.8,0.69,33.0,635.0,7
10.8,0.69,33.0,635.0,7
10.8,0.59,18.0,0.59,7
10.8,0.59,18.0,0.59,7
9.5,0.59,115.0,0.58,5
11.0,0.71,78.0,0.54,5
11.5,0.54,9.0,0.56,6
10.8,0.59,61.0,0.52,6
11.5,0.52,11.0,305.0,6
13.2,0.57,11.0,0.38,6
10.9,0.6,9.0,0.28,6
12.2,0.62,8.0,0.46,6
12.2,0.64,10.0,395.0,7
11.5,0.52,11.0,305.0,6
11.9,0.67,6.0,315.0,6
11.0,0.61,62.0,715.0,5
10.1,0.64,45.0,0.41,6
11.0,0.72,79.0,0.36,6
11.8,0.89,46.0,0.62,6
10.5,0.56,23.0,0.41,5
11.0,0.72,79.0,0.36,6
11.8,0.89,46.0,0.62,6
10.1,0.64,45.0,0.41,6
11.2,0.8,28.0,0.47,5
11.0,0.87,77.0,0.22,7
10.2,0.9,73.0,0.24,6
9.2,0.59,75.0,0.67,4
11.2,0.8,28.0,0.47,5
12.0,0.73,19.0,0.33,7
10.5,0.73,25.0,0.61,5
9.8,0.65,38.0,0.61,5
9.5,0.59,66.0,0.4,6
9.8,0.65,38.0,0.61,5
10.5,0.73,25.0,0.61,5
11.8,0.72,72.0,0.3,6
11.8,0.72,72.0,0.3,6
10.4,0.6,26.0,0.63,4
12.9,0.72,42.0,0.38,7
11.4,0.54,11.0,0.46,5
12.4,0.76,25.0,0.33,7
12.5,0.52,17.0,0.27,7
10.0,0.64,52.0,0.43,7
9.7,0.6,45.0,0.5,7
12.1,0.64,24.0,0.3,7
11.1,0.79,20.0,0.44,7
12.0,0.99,24.0,0.44,7
12.4,0.62,12.0,0.28,7
11.9,0.76,21.0,0.12,7
11.9,0.76,21.0,0.12,7
11.9,0.76,21.0,0.12,7
12.4,0.62,12.0,0.28,7
11.2,0.68,10.0,0.31,7
12.1,0.69,9.0,0.34,7
12.2,0.54,11.0,0.43,6
10.4,0.67,23.0,0.21,5
11.3,0.62,10.0,0.36,6
11.1,0.58,51.0,0.37,6
11.3,0.71,36.0,0.57,7
10.0,0.61,32.0,0.59,5
11.1,0.85,38.0,0.47,6
9.3,0.62,18.0,0.56,5
9.5,0.69,16.0,0.57,5
11.2,0.69,27.0,0.27,6
11.1,0.85,38.0,0.47,6
11.0,0.86,48.0,0.34,6
11.9,0.58,10.0,0.38,7
9.2,0.48,113.0,0.66,5
12.2,0.6,46.0,0.4,6
10.2,0.61,22.0,0.56,5
10.9,0.87,10.0,0.26,6
10.9,0.87,10.0,0.26,6
11.6,0.65,13.0,0.38,7
10.7,0.63,12.0,0.34,5
12.1,0.62,13.0,0.33,7
9.4,0.52,72.0,0.41,5
9.4,0.52,72.0,0.41,5
9.1,0.5,119.0,0.59,5
11.3,0.49,29.0,0.4,7
10.4,0.63,6.0,0.45,5
10.5,0.71,17.0,0.5,6
10.0,0.62,28.0,0.86,5
12.9,0.82,70.0,0.52,6
10.5,0.71,17.0,0.5,6
10.4,0.63,6.0,0.45,5
11.3,0.58,11.0,0.58,6
11.4,0.55,7.0,0.34,7
9.4,0.5,70.0,0.36,5
9.4,0.49,27.0,0.39,5
10.9,0.51,21.0,295.0,6
9.4,0.49,27.0,0.39,5
9.4,0.48,68.0,0.34,5
9.4,0.48,47.0,0.4,6
9.4,0.48,68.0,0.34,5
9.4,0.43,88.0,0.35,5
10.1,0.62,41.0,0.6,6
12.8,0.63,11.0,0.66,7
12.8,0.63,11.0,0.66,7
9.1,0.48,10.0,0.84,6
12.9,0.53,12.0,0.69,6
11.5,0.72,12.0,0.43,7
10.6,0.82,47.0,0.35,7
11.7,0.84,27.0,0.29,7
12.8,0.55,8.0,0.36,7
10.3,0.54,45.0,0.43,5
12.8,0.55,8.0,0.36,7
11.7,0.84,27.0,0.29,7
11.7,0.84,25.0,0.3,7
12.0,0.7,24.0,0.35,7
10.9,0.68,55.0,0.5,5
12.3,0.55,12.0,0.28,7
10.4,0.55,19.0,0.32,6
10.0,0.48,32.0,1.005,5
10.0,0.58,31.0,0.71,6
11.2,0.58,7.0,0.58,6
11.4,0.84,27.0,0.39,6
12.6,0.75,28.0,0.38,7
12.7,0.44,109.0,0.18,6
12.7,0.44,109.0,0.18,6
10.4,0.61,23.0,0.5,5
11.9,0.53,8.0,0.36,6
11.9,0.53,8.0,0.36,6
10.5,0.54,9.0,0.51,5
12.3,0.55,9.0,0.32,6
10.5,0.56,18.0,0.58,7
10.4,0.6,43.0,0.83,6
12.6,0.56,36.0,0.31,6
11.6,0.52,52.0,795.0,5
10.1,0.54,68.0,0.34,6
10.5,0.56,18.0,0.58,7
11.5,0.55,14.0,0.59,7
11.0,0.58,15.0,0.55,7
9.6,0.53,14.0,0.82,5
10.4,0.59,27.0,0.57,6
9.7,0.47,48.0,745.0,6
10.6,0.65,17.0,0.37,7
12.5,0.59,35.0,0.31,7
9.2,0.56,56.0,0.91,5
12.6,0.77,42.0,0.41,7
11.1,0.83,39.0,0.5,6
10.2,0.67,32.0,965.0,5
9.8,0.64,26.0,0.49,6
11.1,0.83,39.0,0.5,6
10.9,0.81,39.0,0.39,7
12.2,0.62,53.0,0.39,6
11.4,0.58,38.0,0.44,6
10.7,0.62,45.0,0.78,6
10.4,0.64,51.0,0.43,5
10.9,0.78,14.0,0.49,6
10.8,0.77,17.0,0.5,6
10.4,0.64,51.0,0.43,5
9.2,1.34,45.0,0.46,5
12.9,0.55,25.0,605.0,5
12.7,0.77,20.0,0.33,7
9.1,0.62,77.0,0.64,6
9.1,0.62,77.0,0.64,6
12.1,0.59,10.0,0.48,7
9.1,0.57,90.0,0.42,5
11.6,0.76,52.0,0.53,7
12.1,0.59,10.0,0.48,7
9.9,0.7,8.0,0.23,6
12.5,0.69,16.0,0.4,8
11.4,0.64,15.0,0.38,6
11.8,0.63,17.0,0.29,6
11.8,0.57,10.0,0.74,6
10.2,0.6,20.0,0.61,6
12.5,0.72,26.0,0.52,7
10.9,0.83,10.0,0.31,7
10.9,0.83,10.0,0.31,7
10.8,0.62,52.0,0.62,5
11.1,0.89,37.0,0.33,7
9.2,0.58,92.0,0.77,5
9.5,0.58,75.0,0.35,6
10.7,0.58,37.0,0.62,6
9.2,0.58,92.0,0.77,5
10.2,0.86,67.0,0.25,7
11.4,0.73,8.0,0.32,6
11.0,0.58,8.0,0.37,5
11.0,0.58,8.0,0.37,5
12.3,0.51,278.0,0.3,7
11.8,0.51,8.0,0.27,6
12.3,0.51,289.0,0.3,7
9.5,0.59,70.0,0.38,6
12.0,0.77,59.0,0.42,6
9.5,0.59,70.0,0.38,6
9.6,0.49,64.0,0.48,5
11.6,0.66,9.0,0.34,7
11.2,0.69,30.0,0.19,6
9.9,0.76,41.0,0.41,7
9.9,0.76,41.0,0.41,7
11.8,0.63,74.0,0.26,8
11.4,0.6,19.0,0.34,6
11.5,0.59,16.0,0.54,6
12.0,0.86,31.0,0.31,7
10.8,0.49,17.0,725.0,6
10.5,0.5,20.0,0.4,5
10.8,0.49,17.0,725.0,6
9.4,0.52,18.0,0.52,5
12.5,0.81,16.0,0.31,7
9.4,0.52,18.0,0.52,5
12.4,0.78,36.0,0.34,6
12.0,0.63,25.0,0.49,6
11.2,0.54,30.0,0.48,6
12.0,0.63,25.0,0.49,6
12.4,0.66,25.0,0.48,6
12.8,0.6,49.0,0.57,5
12.3,0.54,17.0,0.23,6
11.7,0.85,24.0,0.3,7
9.5,0.49,13.0,0.78,5
10.8,0.76,66.0,0.47,6
10.0,0.64,14.0,0.53,6
12.3,0.64,55.0,0.42,7
11.0,0.71,35.0,0.33,6
9.5,0.59,10.0,0.24,6
13.6,0.66,80.0,0.4,6
11.3,0.6,21.0,0.69,6
11.3,0.6,21.0,0.69,6
11.3,0.6,21.0,0.69,6
13.3,0.53,24.0,0.39,6
12.9,0.58,15.0,0.66,5
13.1,0.72,17.0,0.54,8
12.3,0.55,28.0,0.5,6
12.3,0.48,33.0,0.47,6
11.2,0.65,29.0,0.4,6
11.5,0.62,13.0,0.58,4
11.3,0.59,27.0,0.24,7
13.5,0.54,11.0,0.29,6
11.5,0.6,52.0,0.76,6
10.0,0.68,89.0,0.43,5
10.5,0.69,70.0,0.43,6
10.4,0.63,10.0,0.6,6
9.5,0.44,135.0,0.19,5
13.6,0.88,38.0,0.36,7
11.2,0.68,18.0,0.48,7
11.8,0.74,15.0,0.28,7
11.9,0.6,50.0,0.25,6
11.4,0.76,13.0,0.52,6
11.4,0.76,13.0,0.52,6
9.1,0.58,94.0,0.41,5
9.5,0.64,86.0,0.51,6
9.5,0.65,79.0,0.4,6
11.0,0.85,71.0,0.38,6
11.4,0.65,12.0,0.45,6
10.0,0.82,20.0,0.22,6
10.1,0.62,70.0,0.32,5
10.4,0.81,51.0,0.2,6
9.8,0.87,21.0,0.5,6
11.8,0.49,14.0,0.41,7
11.6,0.66,21.0,0.39,6
12.0,0.52,11.0,0.35,6
12.8,0.76,12.0,0.33,7
12.5,0.65,70.0,0.58,6
9.8,0.53,38.0,0.6,5
11.1,0.66,38.0,0.42,6
11.4,0.68,63.0,0.58,6
9.8,0.53,38.0,0.6,5
11.8,0.76,88.0,0.18,7
12.9,0.87,101.0,0.51,7
10.6,1.16,54.0,0.41,6
10.8,0.67,37.0,0.41,5
11.1,0.72,20.0,0.36,7
10.2,0.75,21.0,0.45,6
11.8,0.71,19.0,0.32,7
10.0,0.67,21.0,785.0,5
10.0,0.67,21.0,785.0,5
9.4,1.1,38.0,0.44,5
10.2,0.98,60.0,0.54,5
12.4,0.88,48.0,0.33,7
12.0,0.56,44.0,0.34,6
11.5,0.62,14.0,0.5,6
10.5,0.67,12.0,0.36,6
10.8,0.68,44.0,0.59,6
12.3,0.74,16.0,0.42,6
9.5,0.62,65.0,0.36,6
9.5,0.62,65.0,0.36,6
11.5,0.7,59.0,0.61,6
11.2,0.5,47.0,0.88,4
12.7,0.66,11.0,0.66,7
11.4,0.73,78.0,915.0,5
11.0,0.81,47.0,0.35,6
11.0,0.81,47.0,0.35,6
11.4,0.46,11.0,0.39,5
10.5,0.86,54.0,0.4,6
9.3,0.6,61.0,0.66,5
10.9,0.7,119.0,0.64,5
11.9,0.46,39.0,0.43,6
12.2,0.5,12.0,0.8,5
11.9,0.46,39.0,0.43,6
10.9,0.7,119.0,0.64,5
9.6,0.44,19.0,955.0,4
12.5,0.57,20.0,0.4,6
10.8,0.51,12.0,885.0,5
12.4,0.8,41.0,0.25,7
10.8,0.51,12.0,885.0,5
9.5,0.59,64.0,745.0,6
9.5,0.6,56.0,0.43,6
9.5,0.58,94.0,0.58,6
9.8,0.54,9.0,0.57,6
10.9,0.79,77.0,0.26,6
9.5,0.58,94.0,0.58,6
9.8,0.54,9.0,0.57,6
11.2,0.54,10.0,0.34,7
11.7,0.69,12.0,0.42,8
9.4,0.55,76.0,0.74,5
11.0,0.85,44.0,0.36,7
11.0,0.85,44.0,0.36,7
11.0,0.85,44.0,0.36,7
10.0,0.94,52.0,0.72,5
11.0,0.85,44.0,0.36,7
11.2,0.87,24.0,0.39,7
10.4,0.62,15.0,0.65,6
9.3,0.62,53.0,0.44,5
10.4,0.62,15.0,0.65,6
10.5,0.75,13.0,0.38,6
10.4,0.48,9.0,0.33,6
11.3,0.56,29.0,0.27,6
9.5,0.69,79.0,0.57,6
12.0,0.81,74.0,0.34,6
10.6,0.69,24.0,0.4,6
10.9,0.83,50.0,0.39,6
11.5,0.77,44.0,0.32,6
11.5,0.77,44.0,0.32,6
9.6,0.46,89.0,0.53,6
12.0,0.76,23.0,0.36,6
10.3,0.82,20.0,0.39,6
9.4,0.51,77.0,0.46,5
9.2,0.47,46.0,0.58,5
9.6,0.72,21.0,0.58,5
13.6,0.73,88.0,0.42,7
9.5,0.64,66.0,0.43,5
11.8,0.78,58.0,0.18,6
10.8,0.62,90.0,815.0,5
9.5,0.64,66.0,0.43,5
9.3,0.49,36.0,0.23,4
12.8,0.4,18.0,0.75,6
11.5,0.56,113.0,0.33,4
9.4,0.64,17.0,0.55,6
12.8,0.4,18.0,0.75,6
9.6,0.46,24.0,0.73,4
11.8,0.56,20.0,0.67,4
9.3,0.4,60.0,0.61,5
9.8,0.59,65.0,0.37,5
12.2,0.6,40.0,0.4,6
9.5,0.62,86.0,0.56,5
10.3,0.54,160.0,0.29,6
10.5,0.68,34.0,0.55,5
10.0,0.48,48.0,0.74,5
10.5,0.68,34.0,0.55,5
11.1,0.75,36.0,0.41,6
10.9,0.61,37.0,0.6,6
10.9,0.61,37.0,0.6,6
9.8,0.59,60.0,0.58,5
9.8,0.58,14.0,0.72,5
9.5,0.58,13.0,0.66,5
10.9,0.69,35.0,0.7,5
11.0,0.45,46.0,0.64,5
9.2,0.42,60.0,0.59,5
11.0,0.7,69.0,0.58,6
11.3,0.63,33.0,0.64,6
11.3,0.63,33.0,0.64,6
9.3,1.15,56.0,635.0,5
11.2,0.55,24.0,1.02,4
9.8,0.58,66.0,0.45,5
9.6,0.46,26.0,0.78,4
11.8,0.72,51.0,0.37,6
10.3,0.6,36.0,0.57,6
10.3,0.6,36.0,0.57,6
11.4,0.87,19.0,0.43,6
9.5,0.55,51.0,0.41,6
14.0,0.82,87.0,0.49,8
14.0,0.75,60.0,0.38,6
11.7,0.57,64.0,0.44,6
11.2,0.53,44.0,0.46,5
9.3,0.43,44.0,0.58,5
11.2,0.53,36.0,0.58,6
9.5,0.54,81.0,715.0,6
12.0,0.56,10.0,0.4,4
9.7,0.6,10.0,0.69,6
9.5,0.54,81.0,715.0,6
11.5,0.57,9.0,0.3,7
10.4,0.64,54.0,0.46,6
10.4,0.64,54.0,0.46,6
10.9,0.68,22.0,765.0,6
10.2,0.63,69.0,0.63,6
10.9,0.56,36.0,0.42,5
10.5,0.57,47.0,0.37,5
12.4,0.54,31.0,0.16,6
13.0,0.37,7.0,0.6,5
10.2,1.17,110.0,0.6,5
10.2,1.17,110.0,0.6,5
11.0,0.59,12.0,0.74,5
10.9,0.75,60.0,635.0,6
12.4,0.67,28.0,395.0,6
9.7,0.49,12.0,755.0,4
10.9,0.75,60.0,635.0,6
9.5,0.45,77.5,0.63,5
9.5,0.45,77.5,0.63,5
12.1,0.61,29.0,0.53,6
12.2,0.56,18.0,0.6,6
10.9,0.4,9.0,1.58,3
12.5,0.61,28.0,645.0,6
11.7,0.74,57.0,0.86,6
11.2,0.8,15.0,0.37,6
11.2,0.66,68.0,0.28,5
9.2,0.44,68.0,0.79,5
9.8,0.53,88.0,0.61,5
10.1,0.62,91.0,0.69,5
11.1,0.52,29.0,0.68,4
10.1,0.62,91.0,0.69,5
9.2,0.61,63.0,0.62,5
9.8,0.53,88.0,0.61,5
12.8,0.59,27.0,0.51,6
10.5,0.47,41.0,1.18,5
10.1,0.54,65.0,0.36,6
10.1,0.53,69.0,0.36,6
9.8,0.58,91.0,0.63,6
12.5,0.59,46.0,0.74,6
11.9,0.69,41.0,0.44,6
9.8,0.58,91.0,0.63,6
9.1,1.33,64.0,0.76,6
10.1,0.66,88.0,0.66,5
12.5,0.59,46.0,0.74,6
11.4,0.55,18.0,0.34,5
11.0,0.82,55.0,0.36,7
10.6,0.6,34.0,0.46,6
10.6,0.6,34.0,0.46,6
10.6,0.6,34.0,0.46,6
10.6,0.6,34.0,0.46,6
9.3,0.52,38.0,0.52,5
9.8,0.56,91.0,0.6,6
9.8,0.56,91.0,0.6,6
9.2,0.46,67.0,0.87,5
9.7,0.43,25.0,0.39,6
9.6,0.51,48.0,775.0,5
10.0,0.52,11.0,835.0,5
12.6,0.66,40.0,0.58,6
9.5,0.45,26.0,0.5,5
9.5,0.45,26.0,0.5,5
9.5,0.45,26.0,0.5,5
10.5,0.54,31.0,0.51,6
10.5,0.54,31.0,0.51,6
10.5,0.54,31.0,0.51,6
10.4,0.51,31.0,0.54,6
10.5,0.54,31.0,0.51,6
11.0,0.53,20.0,0.42,5
10.2,0.53,28.0,0.44,6
11.4,0.56,13.0,0.59,5
9.5,0.39,12.0,655.0,5
9.5,0.39,12.0,655.0,5
10.8,0.52,41.0,0.57,5
10.0,0.57,73.0,0.6,5
11.8,0.51,46.0,0.62,6
10.3,0.46,57.0,645.0,5
10.3,0.46,57.0,645.0,5
10.0,0.52,28.0,0.58,5
10.1,0.44,32.0,0.32,5
10.1,0.44,28.0,0.34,5
11.1,0.59,67.0,0.43,6
9.5,0.5,98.0,0.64,5
10.0333333333333,0.65,28.0,475.0,6
10.9,0.56,38.0,0.54,5
10.1,0.54,54.0,0.85,5
10.0333333333333,0.65,28.0,475.0,6
9.8,0.48,63.0,0.83,4
11.8,0.53,31.0,605.0,6
9.5,0.62,42.0,0.5,5
9.8,0.5,45.0,0.74,5
10.5,1.18,105.0,0.54,6
9.8,0.5,74.0,0.77,6
10.4,0.37,8.0,0.61,4
9.2,1.17,66.0,0.78,5
11.6,1.03,14.0,0.58,6
9.2,1.17,66.0,0.78,5
9.3,0.45,89.0,0.75,5
9.8,0.51,29.0,815.0,3
9.9,0.52,100.0,0.56,5
10.0,0.46,31.0,885.0,5
12.2,0.62,74.0,0.49,6
9.9,0.51,28.0,0.45,6
10.8,0.62,35.0,0.57,6
10.8,0.62,35.0,0.57,6
9.6,0.45,25.0,0.83,5
9.9,0.49,105.0,0.6,5
9.9,0.49,105.0,0.6,5
9.5,0.5,84.0,755.0,5
9.2,0.42,85.0,0.81,5
9.6,0.58,23.0,0.64,5
9.6,0.58,23.0,0.64,5
10.3,0.68,49.0,0.64,5
9.7,0.53,111.0,0.48,5
12.5,0.59,33.0,0.49,6
11.0,0.58,33.0,0.64,5
9.8,0.48,12.0,0.62,5
10.2,0.48,59.0,0.52,5
9.2,0.48,73.0,0.57,5
9.55,0.65,12.0,685.0,6
9.55,0.65,11.0,675.0,5
9.9,0.52,104.0,0.59,5
10.2,0.62,28.0,0.6,7
11.1,0.72,24.0,0.67,6
9.9,0.51,141.0,0.69,5
9.9,0.51,141.0,0.69,5
11.9,0.82,24.0,0.3,6
10.0,1.1,13.0,0.33,8
10.7,0.62,46.0,0.5,6
11.3,0.9,34.0,0.28,7
10.9,0.94,22.0,0.24,6
10.7,0.93,54.0,0.51,6
12.4,1.01,53.0,0.29,7
10.7,0.93,54.0,0.51,6
11.9,0.44,16.0,0.96,6
10.6,0.73,19.0,0.47,6
10.9,0.94,22.0,0.24,6
10.1,0.9,89.0,0.57,5
9.6,0.78,15.0,0.32,5
9.4,0.84,18.0,0.58,5
9.6,0.78,15.0,0.32,5
12.1,0.77,37.0,0.34,7
9.8,0.46,19.0,0.53,5
9.9,0.45,133.0,0.64,5
9.8,0.46,19.0,0.53,5
9.4,0.58,58.0,0.4,5
11.4,0.84,55.0,0.54,6
11.0,0.67,31.0,0.53,4
9.6,0.7,23.0,0.26,6
9.6,0.7,23.0,0.26,6
12.1,0.71,60.0,0.23,6
11.2,0.58,23.0,0.41,5
11.0,0.63,55.0,0.64,5
11.3,0.93,67.0,0.18,5
10.4,0.62,47.0,0.41,5
9.9,0.54,74.0,0.43,6
11.7,0.85,11.0,0.44,6
10.1,0.74,25.0,0.4,7
9.0,0.77,95.0,0.54,6
9.0,0.77,95.0,0.54,6
8.5,0.65,90.0,0.38,5
11.1,0.54,39.0,915.0,5
10.3,0.47,8.0,0.59,5
11.0666666666667,0.68,92.0,0.67,6
11.3,0.73,28.0,0.37,7
9.56666666666667,0.52,98.0,785.0,6
9.8,0.75,30.0,0.63,5
11.7,0.49,22.0,0.58,5
11.1,0.68,92.0,0.67,6
9.6,0.52,98.0,785.0,6
9.8,0.75,30.0,0.63,5
9.7,0.74,39.0,0.67,5
9.7,0.73,54.0,0.58,5
11.3,0.76,29.0,0.38,8
11.3,0.73,28.0,0.37,7
11.0,0.78,17.0,0.32,7
11.6,0.76,53.0,0.58,7
9.0,0.58,85.0,0.49,5
10.9,0.69,23.0,0.45,6
10.9,0.63,17.0,0.9,6
10.55,0.5,89.0,0.54,6
9.0,0.58,85.0,0.49,5
10.5,0.6,20.0,0.29,5
11.9,0.8,15.0,0.2,7
10.4,0.68,64.0,0.42,6
10.0,0.61,13.0,785.0,4
10.4,0.58,31.0,0.64,6
10.8,0.53,39.0,0.63,6
9.7,0.67,53.0,0.59,5
9.7,0.67,53.0,0.59,5
10.0,0.65,54.0,0.48,7
11.0,0.57,32.0,1.04,4
10.0,0.65,54.0,0.48,7
9.7,0.55,49.0,0.98,3
9.7,0.47,24.0,0.69,5
12.6,0.52,16.0,0.7,5
11.1,0.79,44.0,0.35,6
11.0,0.54,45.0,0.6,5
8.8,0.75,82.0,0.5,5
13.5666666666667,0.88,89.0,0.47,7
8.8,0.75,82.0,0.5,5
13.6,0.88,89.0,0.47,7
10.2,0.52,14.0,875.0,3
10.6,0.68,22.0,0.28,5
10.1,0.62,13.0,0.62,4
10.6,0.68,22.0,0.28,5
10.3,0.57,9.0,0.58,4
10.7,0.61,12.0,0.33,5
10.9,0.64,11.0,0.91,4
9.7,0.55,25.0,655.0,5
10.3,0.6,23.0,0.68,5
10.6,0.78,17.0,0.64,5
11.4,0.58,13.0,0.54,5
10.8,0.76,11.0,0.57,6
12.4,0.56,18.0,0.22,6
11.4,0.58,13.0,0.54,5
11.95,0.54,18.0,0.65,5
9.7,0.59,147.0,0.54,5
10.0,0.7,28.0,0.31,7
10.6,0.81,28.0,0.43,6
9.7,0.59,147.0,0.54,5
11.5,0.63,16.0,0.74,6
10.8,0.58,13.0,895.0,6
11.5,0.63,16.0,0.74,6
9.6,0.53,15.0,725.0,5
9.4,0.53,64.0,0.82,5
9.8,0.54,60.0,585.0,5
11.0,0.69,14.0,0.44,6
11.4,0.55,12.0,0.38,6
9.95,0.63,12.0,0.76,3
10.8,0.66,14.0,0.81,6
11.4,0.55,12.0,0.38,6
10.6,0.72,25.0,0.27,6
11.1,0.7,20.0,0.18,5
9.7,0.77,48.0,0.36,6
9.8,0.67,27.0,0.69,5
10.4,0.65,17.0,0.79,6
10.5,0.6,65.0,0.56,6
9.23333333333333,0.72,65.0,0.84,6
9.25,0.72,65.0,0.84,6
10.6,0.97,58.0,0.32,5
10.3,0.83,44.0,0.53,6
10.5,0.63,20.0,0.47,5
10.2,0.58,27.0,0.7,5
10.3,0.83,44.0,0.53,6
9.05,0.43,23.0,0.48,4
10.6,0.97,58.0,0.32,5
10.4,0.6,61.0,0.48,5
10.0,0.78,47.0,0.42,6
9.7,0.64,34.0,0.48,5
9.6,0.65,38.0,0.47,6
10.8,0.66,24.0,0.53,6
10.1,0.67,59.0,0.29,6
10.2,0.6,52.0,0.69,6
11.3,0.69,18.0,0.44,6
10.2,0.66,28.0,705.0,5
9.9,0.68,22.0,0.53,6
9.0,0.61,84.0,0.39,5
11.7,0.62,29.0,0.56,7
9.7,0.59,35.0,0.55,6
10.3,0.68,45.0,0.53,6
10.2,0.64,31.0,0.58,6
12.0,0.63,26.0,0.64,5
9.9,0.78,60.0,0.39,5
11.6,0.63,32.0,0.52,6
10.9,0.76,49.0,0.25,7
10.75,0.56,38.0,855.0,6
10.4,0.57,19.0,0.44,6
11.2,0.81,19.0,0.37,7
10.1,0.64,28.0,0.63,6
10.2,0.61,26.0,0.57,5
12.1,0.51,26.0,0.6,5
