alcohol,density,volatile acidity,free sulfur dioxide,qualitywhite
9.6,0.9948,0.25,15.0,6
12.6,0.9915,0.39,5.0,3
11.0,0.99115,0.2,21.0,6
10.2,0.9932,0.2,26.0,6
9.4,0.9977,0.26,38.0,5
10.0,0.99535,0.38,24.0,5
12.2,0.99165,0.2,34.0,6
10.5,0.9953,0.21,31.0,6
11.5,0.9928,0.29,56.0,6
9.8,0.9958,0.18,44.0,6
11.4,0.9928,0.3,51.0,6
11.5,0.9928,0.29,56.0,6
10.2,0.9964,0.2,78.0,6
9.4,0.9987,0.2,83.0,6
10.5,0.9953,0.21,31.0,6
9.1,0.9932,0.35,14.0,5
12.2,0.9907,0.28,32.0,7
9.5,0.99755,0.25,45.0,5
9.3,0.99935,0.22,68.0,6
9.8,0.9932,0.14,55.0,7
9.8,0.9932,0.13,54.0,7
9.8,0.9958,0.18,44.0,6
9.8,0.99585,0.2,42.0,6
8.7,1.00055,0.24,55.0,5
10.2,0.9985,0.44,38.0,6
9.5,0.99505,0.3,36.0,6
11.0,992.0,0.27,35.0,6
9.2,0.9988,0.5,81.0,5
10.9,0.99175,0.2,7.0,6
9.3,0.9962,0.11,41.0,7
9.3,0.9962,0.11,41.0,7
9.8,0.9942,0.12,29.0,7
9.3,0.9927,0.16,58.0,7
9.3,0.9927,0.21,61.0,7
9.4,0.99985,0.27,49.0,5
10.4,997.0,0.27,28.0,9
12.1,0.9918,225.0,29.0,6
11.0,0.99215,0.14,18.0,6
9.0,0.99865,0.23,47.0,5
9.5,0.9992,0.22,59.0,7
8.8,1.0006,0.17,43.0,8
11.2,0.99135,395.0,7.0,4
9.3,0.99715,0.29,44.0,6
9.5,0.9992,0.22,59.0,7
8.8,1.0006,0.17,43.0,8
9.0,0.99865,0.23,47.0,5
9.3,0.99815,0.3,31.0,6
9.2,0.99815,0.34,31.0,6
9.2,0.99815,0.34,31.0,6
10.0,0.9949,0.34,26.0,7
9.3,0.99815,0.3,31.0,6
9.2,0.99815,0.34,31.0,6
10.9,0.99225,0.24,28.0,7
10.0,0.99445,0.46,34.0,5
10.9,0.99225,0.24,28.0,7
9.3,0.99335,0.32,38.0,5
9.0,0.99625,0.31,37.0,5
9.2,0.9971,0.42,42.0,6
9.6,0.9983,0.24,47.0,6
9.4,0.99445,0.18,30.0,6
11.1,0.99085,0.18,14.0,8
8.9,0.9977,0.27,44.0,6
9.3,0.9953,0.28,61.0,5
9.3,0.99775,0.39,57.0,5
9.8,0.99795,0.21,46.0,7
9.8,0.99505,0.32,24.0,6
8.9,0.9977,0.27,44.0,6
9.6,0.9975,0.31,57.0,5
9.6,0.99745,0.29,55.0,6
9.0,0.9976,0.39,65.0,6
9.5,0.99775,0.3,57.0,6
9.3,0.9953,0.28,61.0,5
9.2,0.9932,0.41,17.0,6
9.1,0.99405,0.35,9.0,7
9.5,1.0,0.26,44.0,6
10.5,0.99785,0.35,44.0,6
9.0,0.9939,0.3,24.0,5
11.7,0.9939,0.18,7.0,5
9.1,0.99675,0.56,27.0,5
9.0,0.9939,0.3,24.0,5
9.1,0.99675,0.56,27.0,5
12.4,0.98965,0.36,24.0,9
9.2,0.9971,655.0,28.0,6
9.4,0.99445,0.18,34.0,5
9.6,0.9945,0.19,36.0,6
11.7,0.9939,0.18,7.0,5
9.8,0.9958,0.21,36.0,6
10.2,0.9956,0.25,24.0,6
12.5,0.99055,0.24,27.0,9
10.9,0.9959,0.16,20.0,7
11.0,0.9925,0.16,21.0,7
10.5,0.9963,205.0,34.0,6
11.5,0.9935,0.17,34.0,4
12.8,0.99105,0.3,34.0,8
12.2,0.99045,0.25,27.0,6
10.5,0.9963,205.0,34.0,6
12.8,0.99155,0.42,34.0,8
11.9,0.99085,0.25,30.0,8
11.9,0.99085,0.25,30.0,8
11.9,0.99085,0.25,30.0,8
12.0,0.9924,0.34,12.0,7
12.0,0.9924,0.33,12.0,7
8.8,0.99975,0.23,35.0,7
8.8,0.99975,0.23,35.0,7
10.8,0.99315,0.19,33.0,7
11.0,0.9917,0.21,29.0,8
11.0,0.9917,0.21,29.0,8
9.3,0.99845,0.22,62.0,5
10.8,0.9921,0.34,17.0,5
8.8,0.99975,0.23,35.0,7
11.5,0.9909,0.2,30.0,6
10.8,0.99315,0.19,33.0,7
9.4,0.99855,0.38,58.0,5
9.5,0.9934,0.18,40.0,7
8.6,0.9978,0.34,41.0,5
9.5,0.9934,0.18,40.0,7
10.3,0.9949,0.2,30.0,7
9.4,0.99855,0.38,58.0,5
9.4,0.9986,0.4,59.0,5
10.0,0.99725,0.22,60.0,7
9.4,0.9946,0.3,60.0,5
10.4,0.99255,0.27,38.0,8
9.1,0.9996,0.25,57.0,7
9.9,0.9939,0.34,33.0,6
12.1,0.99,0.28,24.0,6
9.9,0.9937,0.33,34.0,5
12.5,0.9886,0.27,26.0,6
9.5,0.9934,0.18,40.0,7
8.5,1.0,0.18,41.0,8
9.0,0.9994,0.28,49.0,7
10.1,0.9926,0.24,37.0,6
9.4,0.9956,0.45,11.0,5
8.6,0.9978,0.34,41.0,5
10.7,0.9915,0.26,24.0,6
9.6,0.9939,0.17,5.0,3
10.1,0.9932,0.15,10.0,5
10.0,993.0,0.21,28.0,7
12.7,0.9898,0.36,57.0,9
10.2,0.9921,0.28,33.0,6
8.9,0.9932,0.16,37.0,6
11.9,0.9919,0.12,18.0,8
10.0,993.0,0.21,28.0,7
9.9,0.9953,0.36,9.0,6
11.5,0.9928,0.26,22.0,6
11.5,0.9928,0.26,22.0,6
9.8,0.9976,0.23,38.0,6
12.2,0.9906,0.34,20.0,7
11.4,0.9918,0.26,39.0,6
11.0,0.99185,0.3,34.0,7
11.4,0.9918,0.26,39.0,6
11.0,0.99185,0.3,34.0,7
9.9,994.0,0.31,43.0,6
11.0,0.9908,0.26,40.0,7
9.4,0.9928,0.26,38.0,5
12.2,0.9896,0.31,33.0,7
11.0,0.9908,0.26,40.0,7
10.3,0.9918,0.19,17.0,6
10.5,0.9952,0.18,52.0,6
10.5,0.9923,0.29,12.0,6
10.9,0.9915,0.26,13.0,6
10.5,0.9952,0.18,52.0,6
11.0,0.9947,0.2,30.0,7
9.7,0.9983,0.29,26.0,6
8.9,0.9975,0.28,63.0,5
9.6,995.0,0.31,60.0,6
8.8,0.9944,0.21,49.0,8
11.1,994.0,0.19,9.0,4
10.3,0.9944,0.27,8.0,4
12.2,0.9908,0.25,30.0,8
9.8,0.99795,0.23,23.0,4
8.8,0.9985,0.24,46.0,5
9.9,0.99425,0.33,24.0,5
9.9,0.99425,0.33,22.0,5
9.9,0.9943,0.34,22.0,5
9.2,0.9924,0.29,11.0,5
9.5,0.9946,0.32,11.5,4
9.2,0.9924,0.29,11.0,5
10.3,995.0,0.13,36.0,7
11.0,0.9919,0.3,23.0,6
11.9,0.99,0.24,27.0,6
10.2,0.9923,0.18,20.0,7
9.4,0.9956,0.11,59.0,7
8.9,0.9978,0.32,56.0,6
8.9,0.9978,0.32,56.0,6
10.0,0.9967,0.26,69.0,6
10.7,0.9934,0.28,50.0,8
9.8,0.9936,0.27,13.0,5
9.3,0.9932,595.0,26.0,5
9.5,0.9934,0.25,52.0,7
10.0,998.0,0.25,47.0,5
9.0,0.9978,0.36,42.0,5
11.9,0.9929,0.17,21.0,7
8.9,0.9974,0.26,64.0,5
10.0,0.99685,0.26,80.0,6
9.6,0.99495,0.29,58.0,5
8.9,0.99745,0.28,64.0,5
8.9,0.99505,0.27,61.0,5
11.4,992.0,0.43,10.0,5
9.0,0.9978,0.36,42.0,5
10.0,0.9956,0.35,56.0,6
9.6,0.9982,0.24,39.0,7
9.7,0.99485,0.34,40.0,5
9.5,0.9971,0.27,61.0,6
10.0,0.99265,415.0,27.0,7
12.2,0.9904,0.48,31.0,7
8.7,0.9965,0.18,16.0,7
10.2,0.9946,0.15,28.0,7
9.6,0.99965,345.0,55.0,5
10.0,0.9935,0.16,24.0,5
9.5,996.0,705.0,10.0,4
11.5,0.9942,0.25,8.0,5
9.5,0.9936,345.0,15.0,5
9.8,0.9965,0.22,26.0,6
10.1,0.9928,0.17,14.0,6
10.0,0.9928,0.23,39.0,5
9.8,0.9965,0.22,26.0,6
9.5,0.9936,345.0,15.0,5
9.5,0.9938,0.32,13.0,5
10.2,0.9926,0.23,25.0,7
10.2,0.9926,0.2,25.0,7
9.0,0.9983,0.24,38.0,6
9.0,0.9983,0.24,38.0,6
12.3,992.0,0.42,34.0,7
9.0,0.9983,0.24,38.0,6
11.6,0.9923,0.19,23.0,6
9.5,0.9972,0.26,36.0,6
11.5,0.9928,0.23,14.0,5
9.6,0.9928,0.34,43.0,6
9.0,0.9994,0.22,38.0,6
12.0,991.0,0.08,23.0,7
11.4,0.9906,0.42,18.0,7
12.3,0.9894,0.42,25.0,7
12.6,0.9898,0.27,24.0,7
9.0,0.9994,0.22,38.0,6
12.0,991.0,0.08,23.0,7
11.7,0.9925,0.13,14.0,6
9.2,0.9956,0.3,22.0,5
10.3,0.9946,0.13,47.0,6
8.6,0.9966,0.14,53.0,5
10.7,0.9951,0.28,32.0,7
9.8,0.9927,0.2,10.0,5
9.8,0.9927,0.19,9.0,6
10.7,0.9951,0.28,32.0,7
12.5,0.9894,0.39,15.0,6
11.9,0.9907,0.36,21.0,6
10.8,0.9925,0.19,63.0,5
10.5,0.9928,0.41,29.0,6
10.3,0.9941,0.28,44.0,6
10.3,0.9941,0.3,45.0,6
10.8,0.9925,0.19,63.0,5
12.0,0.9935,0.28,8.0,7
10.2,0.9932,0.16,41.0,6
10.2,0.9944,0.26,7.0,4
9.9,0.9972,0.25,75.0,5
10.1,994.0,0.24,9.0,4
9.5,0.9956,0.18,24.0,6
10.5,0.9927,0.27,27.0,6
10.4,0.9924,0.26,6.0,5
9.5,0.9966,0.24,33.0,6
9.2,0.9997,0.24,43.0,6
10.1,0.9936,0.21,47.0,7
9.8,0.9936,0.19,16.0,7
9.4,0.9952,0.28,61.0,5
9.4,0.9952,0.28,60.0,6
10.4,0.9928,0.24,18.0,7
11.3,0.9911,0.36,40.0,6
10.8,993.0,0.18,18.0,6
11.3,0.9911,0.36,40.0,6
9.3,0.9932,0.52,30.0,5
10.3,993.0,0.22,45.0,7
10.5,993.0,0.15,32.0,6
10.3,0.9932,0.16,25.0,6
11.2,0.9932,0.16,60.0,7
10.3,0.9943,0.16,31.0,6
9.5,0.9968,0.25,62.0,5
8.9,0.9994,0.16,63.0,5
10.2,0.9926,0.39,19.0,5
9.2,0.9968,0.37,44.0,5
10.3,0.9932,0.16,25.0,6
10.5,0.9916,0.18,47.0,6
9.5,0.9946,0.14,56.0,6
11.4,0.9925,0.2,35.0,7
11.4,0.9925,0.2,35.0,7
11.1,0.9935,0.19,54.0,8
10.5,0.9962,0.19,48.0,6
12.0,0.9928,0.34,23.0,6
9.7,993.0,0.15,38.0,6
10.2,993.0,0.14,47.0,6
9.5,0.9956,0.55,13.0,4
10.4,0.9941,0.24,51.0,7
9.3,0.9972,0.6,50.0,4
10.5,0.9948,0.2,24.0,6
10.0,0.9955,0.34,45.0,6
10.2,0.9972,0.3,44.5,6
10.2,0.9972,0.3,44.5,6
9.1,0.9983,0.64,33.0,3
10.2,0.9942,0.17,39.0,6
10.7,0.9936,0.17,18.0,5
9.7,0.9956,0.47,11.0,5
9.3,0.9953,0.15,33.0,7
11.0,0.9918,0.17,13.0,5
10.8,995.0,0.68,17.0,4
10.7,992.0,275.0,19.0,5
10.7,0.9952,0.49,18.0,4
8.8,1.001,0.33,55.0,5
10.9,0.9924,0.21,23.0,7
10.5,0.9932,0.15,24.0,5
10.0,0.9937,0.19,23.0,5
10.4,0.9918,0.31,5.0,5
9.2,0.9934,0.4,15.0,5
12.6,991.0,0.37,36.0,6
9.0,0.9962,0.24,29.0,5
9.2,0.9932,0.21,52.0,6
11.3,0.9908,0.29,18.0,5
10.3,0.9962,0.29,17.0,4
10.4,0.9918,0.31,5.0,5
10.0,0.9941,0.26,29.0,5
10.7,0.9931,0.21,26.0,6
9.0,0.9981,0.51,35.0,5
10.7,0.9931,0.21,26.0,6
8.7,0.9944,0.3,48.0,4
11.6,992.0,0.26,30.0,7
9.4,0.9966,0.21,45.0,5
9.5,0.9956,0.26,35.5,5
9.5,0.9956,0.26,36.0,5
10.9,0.9949,0.26,48.0,6
9.7,1.0002,0.22,32.0,5
9.1,0.9942,0.3,62.0,6
11.1,0.9923,0.19,33.0,7
12.6,0.9917,0.33,9.0,7
11.0,0.9931,0.2,38.0,6
11.3,992.0,0.37,32.0,7
9.7,1.0002,0.22,32.0,5
10.9,0.9953,0.29,28.0,7
10.9,0.9951,0.34,25.0,5
9.3,0.9974,0.55,27.0,6
12.7,0.9904,0.4,28.0,7
10.1,0.9974,0.28,42.0,6
10.0,0.9944,0.26,43.0,5
9.8,1.0004,0.26,56.0,5
10.1,0.9952,0.34,29.0,6
9.0,0.9956,0.15,31.0,7
9.4,995.0,0.27,52.0,6
9.4,995.0,0.27,52.0,6
9.2,0.9995,0.2,43.0,6
10.1,0.9942,0.23,29.0,7
8.6,0.9977,0.31,58.0,5
11.2,992.0,0.24,21.0,8
11.2,992.0,0.24,39.0,8
9.2,0.9995,0.2,43.0,6
10.6,0.9934,0.17,17.0,7
9.3,1.0006,0.21,62.0,6
8.9,0.9982,0.21,35.0,6
10.6,0.9928,0.21,24.0,6
10.6,0.9945,0.17,29.0,7
8.8,0.9963,0.24,52.0,5
11.0,0.9906,0.24,25.0,8
10.2,0.9956,0.28,44.0,6
10.1,0.9942,0.23,29.0,7
10.1,0.9962,0.29,32.0,6
14.0,0.9894,0.29,12.0,7
9.4,995.0,0.27,52.0,6
11.8,0.9908,0.17,45.0,6
11.4,0.9914,0.16,59.0,5
10.7,0.9938,0.29,6.0,5
8.6,0.9977,0.31,58.0,5
11.5,0.9922,0.32,25.0,7
11.2,992.0,0.24,21.0,8
12.6,0.9903,0.37,27.0,7
12.6,0.9893,0.29,13.0,7
9.3,0.9952,0.22,18.0,4
12.6,0.9903,0.37,27.0,7
12.1,0.9912,0.18,15.0,6
9.9,0.9983,0.22,55.0,6
10.7,0.9937,0.18,22.0,5
10.0,0.9932,0.52,5.0,4
10.4,0.9928,0.15,33.0,8
10.5,0.9922,415.0,11.0,5
9.7,0.9976,0.45,33.0,5
10.5,0.9922,415.0,11.0,5
9.0,0.9974,0.5,26.0,5
9.2,998.0,105.0,34.0,6
10.1,0.9931,0.4,30.0,6
11.4,0.9911,0.25,40.0,7
10.8,0.9944,0.36,11.0,5
10.9,0.9937,0.23,19.0,5
9.2,0.9974,0.55,33.0,6
12.9,989.0,115.0,73.0,7
12.0,992.0,125.0,24.0,7
9.5,0.9928,0.1,21.0,5
11.8,0.9918,0.25,33.0,7
9.1,0.9936,0.2,36.0,6
9.7,0.9944,0.23,24.0,6
9.1,0.9988,0.39,28.0,5
10.0,994.0,0.22,27.0,5
10.4,0.9953,0.41,19.0,5
9.5,0.9986,0.25,30.0,6
12.3,0.9914,0.26,70.0,8
11.7,0.9934,0.31,70.0,8
9.5,996.0,0.28,39.0,5
11.5,0.9937,0.31,26.0,5
10.6,0.9921,0.16,17.0,6
10.2,998.0,0.34,30.0,5
9.5,996.0,0.28,39.0,5
10.5,0.9933,0.24,27.0,5
10.5,0.9933,0.25,27.0,5
8.9,0.9959,0.32,71.0,5
10.6,0.9936,0.27,15.0,5
9.5,0.9953,0.34,12.0,5
10.8,0.9938,0.17,29.0,6
9.5,0.9952,0.25,61.0,5
8.9,0.9959,0.32,69.0,5
8.9,0.9959,0.32,71.0,5
9.4,0.9937,0.6,24.0,4
10.6,992.0,395.0,26.0,6
9.0,0.9967,0.16,37.0,4
10.5,0.9944,0.33,26.0,4
9.0,0.9998,0.3,23.0,6
9.0,0.9998,0.3,23.0,6
9.4,0.9942,0.26,73.5,6
9.0,0.9998,0.3,23.0,6
9.6,0.9945,0.14,50.0,6
9.0,0.9998,0.3,23.0,6
10.2,0.9946,0.25,29.0,7
9.4,0.9942,0.26,73.5,6
10.4,0.9928,0.23,15.0,6
10.4,0.9946,0.24,34.0,5
9.5,0.9927,0.45,13.0,5
10.6,0.9938,0.23,22.0,6
11.0,0.9918,0.2,21.0,5
9.6,0.9945,0.14,50.0,6
9.9,0.9966,0.25,20.0,6
9.6,0.9954,0.61,15.0,5
12.8,0.9913,0.21,10.0,6
11.4,0.9931,0.22,31.0,5
10.0,0.9986,0.26,49.0,6
9.1,0.9965,0.25,57.0,5
9.4,0.9984,0.32,29.0,7
10.2,0.9952,0.25,19.0,6
9.2,0.9956,0.44,35.0,5
9.4,0.9949,0.2,31.0,5
9.6,0.9954,0.61,15.0,5
10.1,996.0,0.42,20.0,6
11.4,0.9931,0.22,31.0,5
10.6,992.0,0.26,33.0,6
12.8,0.9912,0.46,40.0,7
8.9,0.9978,0.41,65.0,5
9.3,0.9938,0.32,22.0,5
11.1,0.9914,0.21,40.0,8
9.9,0.9932,0.21,45.0,6
9.6,0.9944,0.26,5.0,5
12.8,0.9913,0.21,10.0,6
10.7,0.9948,0.25,36.0,7
9.2,998.0,0.26,29.0,6
9.1,0.9998,0.22,44.5,7
9.6,0.9964,0.37,36.0,6
9.2,0.9992,0.22,53.0,6
10.7,0.9948,0.25,36.0,7
9.1,0.9998,0.22,44.5,7
9.2,998.0,0.26,29.0,6
10.7,0.9939,0.25,14.0,7
10.8,992.0,0.18,37.0,6
10.8,0.9922,0.17,26.0,7
9.0,0.9955,0.3,35.0,5
10.7,0.9917,0.33,10.0,6
10.7,0.9917,0.33,10.0,6
9.4,0.9954,0.33,11.0,5
8.8,0.9986,0.26,61.0,6
9.0,0.9955,0.3,35.0,5
11.5,0.9917,0.21,48.0,6
12.5,0.9907,0.23,30.0,6
10.5,0.9922,0.28,14.0,6
9.7,0.9958,0.27,28.0,5
11.3,993.0,0.32,32.0,6
10.7,0.9917,0.33,10.0,6
10.8,0.9926,0.24,11.0,6
10.6,0.9959,0.28,41.0,5
11.7,0.9906,0.37,17.0,8
9.2,0.9993,0.61,24.0,5
11.1,993.0,0.26,25.0,8
11.7,0.9906,0.37,17.0,8
11.0,992.0,0.23,15.5,6
12.5,992.0,0.4,50.0,7
10.0,994.0,0.28,21.0,6
10.6,0.9959,0.28,41.0,5
12.3,0.9908,0.23,29.0,7
12.7,0.9902,0.32,19.0,6
12.3,0.9908,0.23,29.0,7
10.5,0.9943,0.18,20.0,5
12.5,0.9921,0.26,25.0,6
12.4,0.9911,0.33,18.0,3
8.7,0.9986,0.29,46.0,6
12.4,992.0,0.41,40.0,7
12.6,992.0,0.44,27.0,7
11.0,0.9943,0.39,29.0,6
10.1,0.9937,0.26,47.0,6
10.5,993.0,0.32,46.0,5
12.7,0.9902,0.32,19.0,6
10.9,0.9928,0.24,35.0,5
13.5,0.9896,0.44,35.0,7
9.7,998.0,0.25,28.0,5
9.2,0.9954,0.14,44.0,6
10.6,0.9938,0.18,33.0,7
13.3,0.9918,0.43,36.0,7
13.5,0.9896,0.44,35.0,7
10.1,0.9944,0.26,23.0,5
9.4,0.9999,0.66,62.0,4
10.6,0.9953,0.2,41.0,7
11.3,992.0,0.21,25.0,6
10.8,0.9925,0.18,20.0,7
10.4,0.9981,0.57,46.0,5
10.5,0.9952,0.26,48.0,7
9.3,0.9927,245.0,28.0,5
9.3,0.9927,245.0,24.0,6
12.2,0.9911,0.25,52.0,7
9.2,0.9936,0.16,58.0,5
10.3,0.9959,0.22,29.0,6
9.4,0.9946,0.18,28.0,6
10.2,0.9948,0.17,88.0,6
9.0,0.9955,0.29,65.0,6
9.3,0.9951,0.21,64.0,6
9.2,0.9952,0.23,63.0,6
9.4,0.9946,0.19,31.0,6
9.4,0.9946,0.18,28.0,6
9.5,0.9944,0.29,77.5,6
9.9,0.9938,0.14,15.0,5
11.1,0.9963,0.31,36.0,7
12.3,991.0,0.28,36.0,8
8.6,1.0003,0.22,45.0,7
9.4,0.9966,0.31,21.0,5
9.4,0.9993,0.35,55.0,6
8.6,1.0003,0.22,45.0,7
10.9,0.9938,0.5,23.0,5
9.4,0.9965,0.39,32.0,5
10.9,0.9938,0.5,23.0,5
9.4,0.9993,0.35,55.0,6
9.2,0.9938,0.22,20.0,6
8.6,1.0003,0.22,45.0,7
9.4,0.9966,0.31,21.0,5
10.8,0.9942,0.24,10.0,6
10.5,0.9928,0.27,14.0,6
12.5,991.0,0.16,29.0,6
12.1,0.9911,0.27,26.0,7
8.7,0.9977,0.31,51.0,5
12.7,0.9927,0.45,50.0,8
12.1,0.9911,0.27,26.0,7
12.5,991.0,0.16,29.0,6
11.4,0.9912,0.16,40.0,7
12.9,0.9907,0.21,35.0,7
12.8,0.9902,0.32,29.0,7
11.2,992.0,0.16,15.0,6
9.7,994.0,0.16,16.0,6
9.7,0.9966,0.23,54.0,6
10.3,993.0,0.17,14.0,6
11.6,993.0,0.39,10.0,4
11.6,993.0,0.41,10.0,4
9.7,0.9966,0.23,54.0,6
10.9,0.9942,0.38,30.0,6
12.6,0.9925,0.42,29.0,7
12.4,0.9925,0.34,45.0,6
11.5,0.9928,0.23,45.0,5
10.2,995.0,245.0,52.0,6
11.4,0.9939,0.2,51.0,5
9.6,0.9958,0.19,39.0,6
10.3,0.9952,0.2,60.0,6
9.3,1.0,0.59,61.0,5
10.7,0.9948,0.14,17.0,7
12.8,0.99,0.24,34.0,8
9.5,0.9958,0.14,23.0,5
10.4,0.9948,0.15,22.0,6
10.3,0.9949,0.17,14.0,6
9.9,997.0,365.0,37.0,6
10.7,0.9927,0.23,37.0,6
10.5,0.9938,0.25,16.0,5
9.6,0.9949,0.32,14.0,5
9.3,0.9953,0.31,46.0,6
10.0,997.0,0.2,63.0,6
11.2,0.9932,255.0,40.0,6
10.8,0.9927,0.15,21.0,5
10.3,0.9932,0.15,25.0,6
8.8,0.9955,0.25,59.0,5
12.8,0.9914,0.19,6.0,6
13.2,991.0,0.43,17.0,6
10.1,992.0,0.31,28.0,6
11.0,0.9924,0.2,40.0,5
10.8,0.9927,0.16,21.0,6
12.8,0.9911,0.32,28.0,7
9.2,0.9958,0.22,33.0,6
10.5,0.9928,0.26,44.0,6
11.7,0.9902,0.37,13.0,6
9.5,994.0,0.19,20.0,5
9.5,994.0,0.21,24.0,5
8.8,0.9972,0.15,24.0,6
9.3,1.0004,0.16,69.0,7
12.6,991.0,0.21,62.0,8
12.4,0.9918,0.24,26.0,6
10.1,995.0,0.21,60.0,6
11.2,0.9941,0.29,38.0,8
10.0,0.9956,0.18,40.0,5
10.0,0.9956,0.18,40.0,5
10.8,0.9959,0.58,37.0,6
10.0,0.9922,0.16,50.0,6
10.4,0.9931,0.54,13.0,5
10.8,0.9959,0.58,37.0,6
9.8,0.9984,0.25,52.0,6
12.2,0.9908,0.23,51.0,8
12.7,991.0,0.39,36.0,8
12.2,0.9928,0.46,46.0,7
11.9,0.9936,0.35,35.0,7
11.2,0.9941,0.29,38.0,8
10.4,0.9924,0.35,15.0,4
12.8,0.9917,0.57,22.0,7
12.7,0.9906,0.37,40.0,7
10.1,995.0,0.21,60.0,6
10.0,0.9956,0.18,40.0,5
9.0,0.9955,0.13,43.0,5
11.4,0.9907,0.19,38.0,5
8.9,1.0,0.22,55.0,6
9.3,0.9953,0.29,43.0,6
12.0,0.9911,0.35,35.0,8
10.8,0.9922,0.19,31.0,7
10.5,0.9951,0.12,56.0,6
10.6,0.9948,0.13,56.0,7
11.3,0.9906,0.25,42.0,7
9.5,994.0,0.32,15.0,4
11.4,0.9907,0.19,38.0,5
10.1,0.9927,0.13,35.0,7
10.9,0.9914,0.14,22.0,6
8.9,0.9958,0.27,19.0,5
8.9,1.0,0.22,55.0,6
9.3,0.9984,0.64,42.0,5
10.4,0.9941,0.28,23.0,6
12.0,0.9944,0.26,41.0,7
9.5,998.0,0.22,37.0,6
9.5,998.0,0.22,37.0,6
12.4,0.9902,0.23,24.0,7
11.2,0.9911,0.3,30.0,7
11.4,0.9929,0.27,6.0,6
11.4,993.0,0.28,10.0,6
11.1,0.9918,0.28,46.0,7
10.4,992.0,0.46,5.0,6
12.0,0.9932,0.38,36.0,7
12.3,992.0,0.43,24.0,7
9.1,994.0,0.56,28.0,6
10.5,0.9923,0.36,25.0,6
11.4,993.0,0.23,5.0,6
9.5,0.9956,0.33,26.0,5
13.7,0.9907,0.49,17.0,7
13.4,0.99,0.42,15.0,6
11.3,0.9918,0.18,12.0,7
10.0,0.9926,0.19,73.0,6
10.1,995.0,0.19,33.0,6
12.2,0.99,0.16,23.0,6
13.4,0.99,0.42,15.0,6
9.3,0.9946,135.0,19.0,6
13.7,0.9907,0.49,17.0,7
12.3,0.9898,0.19,27.0,7
11.3,0.9918,0.18,12.0,7
8.9,0.9986,0.25,35.0,7
8.9,0.9986,0.25,35.0,7
11.5,0.9928,0.2,32.0,6
8.9,0.9986,0.25,35.0,7
9.3,0.9979,0.67,57.0,6
11.1,994.0,0.4,31.0,8
10.9,0.9937,0.26,29.0,8
11.6,0.9938,0.31,11.0,5
10.2,0.9942,0.39,9.0,4
10.5,0.9944,0.22,12.0,8
11.4,993.0,0.19,16.0,6
8.9,0.9986,0.25,35.0,7
10.6,0.9932,0.2,29.0,6
11.6,0.9934,0.26,39.0,6
11.5,0.9928,0.2,32.0,6
12.3,0.9925,0.3,26.0,8
10.8,0.9944,0.29,22.0,6
11.3,0.9909,0.17,55.0,6
9.3,0.9932,415.0,22.0,5
10.0,0.9934,0.23,16.0,6
11.0,1.0001,0.55,35.5,3
10.2,992.0,0.35,18.0,5
10.8,0.9916,0.14,27.0,7
10.1,998.0,0.28,29.0,4
11.6,0.9919,0.18,17.0,6
9.1,0.9925,165.0,25.0,5
10.0,0.9977,0.25,36.0,4
10.8,0.9944,0.29,22.0,6
11.4,991.0,0.22,26.0,6
12.7,0.99,0.22,34.0,6
11.3,0.9917,0.25,35.0,5
10.4,0.9923,0.18,28.0,7
9.6,0.9928,0.22,18.0,5
10.1,0.9923,0.39,8.0,4
9.6,0.9928,0.22,18.0,5
12.1,0.9902,0.36,16.0,7
12.2,0.9893,0.29,32.0,6
11.3,0.9917,0.25,35.0,5
9.6,0.9982,0.23,19.0,5
9.2,1.0005,0.56,51.0,5
10.4,0.9923,0.18,28.0,7
9.5,0.9951,0.23,67.0,5
8.9,0.9956,0.25,67.0,5
8.8,998.0,0.26,56.0,5
10.5,0.9928,0.31,17.0,5
9.4,0.9938,0.25,27.0,5
12.2,0.9914,0.18,34.0,6
11.3,0.9955,0.43,37.0,6
12.2,0.9924,0.2,33.0,6
12.2,0.9911,0.27,35.0,6
11.2,0.9917,0.16,18.0,6
11.2,0.9917,0.16,18.0,6
11.5,0.9932,0.19,49.0,6
11.3,0.9955,0.43,37.0,6
9.3,0.9929,0.4,11.0,5
11.3,0.9955,0.43,37.0,6
11.8,0.9958,0.52,37.0,7
9.2,1.0012,0.21,50.0,5
9.2,0.9968,0.34,44.0,5
12.2,0.9911,0.27,35.0,6
12.2,0.9924,0.2,33.0,6
12.2,991.0,0.22,42.0,6
10.6,0.9946,0.11,27.0,6
12.4,0.9928,0.17,29.0,6
10.8,0.9946,145.0,54.0,6
11.2,0.9917,0.16,18.0,6
11.0,0.9918,0.19,11.0,6
12.7,0.9926,0.44,46.0,8
10.2,0.9931,0.2,19.0,5
11.5,0.9932,0.19,49.0,6
12.3,0.9903,0.25,30.0,7
9.8,0.9928,0.24,15.0,5
9.3,0.9929,0.4,11.0,5
11.8,0.9958,0.52,37.0,7
11.3,0.9955,0.43,37.0,6
11.4,0.9911,0.21,6.0,5
10.8,0.9938,0.2,39.0,6
9.5,0.9942,0.25,13.0,4
10.2,0.9945,0.08,18.0,6
10.7,0.9962,0.85,40.0,5
10.8,992.0,0.51,10.0,6
11.5,0.9927,0.22,39.0,6
